CustNum,Total,Categories 0,Categories 1,Categories 2,Categories 3,Categories 4,Categories 5,Categories 6,Categories 7,Categories 8,Categories 9
139.000,503,0.000,0.026,0.076,0.018,0.318,0.040,0.105,0.195,0.189,0.034
385.000,687,0.009,0.006,0.100,0.039,0.371,0.033,0.092,0.130,0.163,0.057
469.000,439,0.023,0.036,0.021,0.011,0.255,0.066,0.103,0.214,0.253,0.018
9001.000,518,0.471,0.000,0.010,0.000,0.006,0.000,0.000,0.010,0.504,0.000
9002.000,507,0.465,0.000,0.004,0.000,0.002,0.000,0.000,0.008,0.521,0.000
9003.000,512,0.459,0.000,0.004,0.000,0.004,0.000,0.000,0.000,0.533,0.000
9004.000,523,0.465,0.000,0.006,0.000,0.006,0.000,0.000,0.004,0.520,0.000
9005.000,510,0.467,0.000,0.002,0.000,0.016,0.000,0.000,0.006,0.508,0.002
9006.000,516,0.461,0.000,0.004,0.000,0.017,0.000,0.000,0.004,0.514,0.000
9007.000,510,0.467,0.000,0.006,0.000,0.018,0.000,0.000,0.004,0.506,0.000
9008.000,529,0.463,0.000,0.004,0.000,0.006,0.000,0.000,0.000,0.526,0.002
9009.000,514,0.453,0.000,0.002,0.000,0.010,0.000,0.000,0.000,0.535,0.000
9010.000,511,0.460,0.000,0.014,0.000,0.008,0.000,0.002,0.002,0.515,0.000
9011.000,528,0.453,0.000,0.004,0.000,0.006,0.000,0.000,0.008,0.530,0.000
9012.000,515,0.460,0.000,0.004,0.000,0.006,0.000,0.000,0.000,0.530,0.000
9013.000,512,0.441,0.000,0.008,0.000,0.010,0.000,0.000,0.000,0.541,0.000
9014.000,512,0.459,0.000,0.008,0.000,0.010,0.000,0.000,0.002,0.521,0.000
9015.000,523,0.453,0.000,0.008,0.000,0.008,0.000,0.000,0.004,0.526,0.002
9016.000,498,0.454,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.534,0.000
9017.000,492,0.470,0.000,0.000,0.000,0.024,0.000,0.000,0.002,0.502,0.002
9018.000,522,0.454,0.000,0.011,0.000,0.015,0.000,0.000,0.008,0.510,0.002
9019.000,507,0.464,0.000,0.002,0.000,0.016,0.002,0.000,0.012,0.505,0.000
9020.000,510,0.457,0.000,0.002,0.000,0.006,0.000,0.000,0.002,0.529,0.004
9021.000,500,0.450,0.000,0.000,0.000,0.012,0.000,0.000,0.002,0.528,0.008
9022.000,481,0.449,0.000,0.004,0.000,0.010,0.000,0.000,0.004,0.522,0.010
9023.000,449,0.477,0.000,0.000,0.000,0.007,0.000,0.000,0.007,0.508,0.002
9024.000,444,0.462,0.000,0.002,0.000,0.018,0.000,0.002,0.002,0.511,0.002
9025.000,474,0.447,0.000,0.006,0.000,0.011,0.000,0.000,0.004,0.525,0.006
9026.000,457,0.449,0.000,0.002,0.000,0.015,0.002,0.000,0.007,0.514,0.011
9027.000,454,0.416,0.000,0.011,0.000,0.015,0.002,0.000,0.002,0.540,0.013
9028.000,440,0.441,0.000,0.002,0.000,0.011,0.007,0.000,0.009,0.514,0.016
9029.000,420,0.457,0.000,0.002,0.000,0.010,0.000,0.005,0.002,0.517,0.007
9030.000,435,0.425,0.000,0.000,0.000,0.011,0.005,0.000,0.011,0.533,0.014
9031.000,390,0.423,0.000,0.000,0.000,0.008,0.008,0.003,0.015,0.538,0.005
9032.000,388,0.412,0.000,0.008,0.000,0.005,0.003,0.000,0.010,0.546,0.015
9033.000,368,0.424,0.000,0.005,0.000,0.024,0.003,0.000,0.011,0.514,0.019
9034.000,376,0.410,0.000,0.008,0.000,0.013,0.000,0.003,0.008,0.535,0.024
903291773.000,367,0.035,0.025,0.120,0.019,0.542,0.016,0.087,0.033,0.049,0.074
928118735.000,380,0.000,0.000,0.000,0.000,0.116,0.008,0.000,0.000,0.229,0.647
